,Means_dim2_birth,Means_dim2_death,sd_dim2_birth,sd_dim2_death,
1,1.505917108,1.51851073,0.172809174,0.18091803,
2,0.858908166,0.883503617,0.071304961,0.082960681,
3,0.886575133,0.894827326,0.289514071,0.291963298,
4,1.375881192,1.393150183,0.108507855,0.114027002,
5,1.568412987,1.604438209,0.158997615,0.157167643,
6,0.675086918,0.683614994,0.084598989,0.085881124,
7,1.253581179,1.268099647,0.139987098,0.138673443,
8,1.071464355,1.105376718,0.184649388,0.19886943,
9,1.30852938,1.327426054,0.220065982,0.225388417,
10,0.7278127,0.745634976,0.15322676,0.151622945,
11,1.037150277,1.055322957,0.15355377,0.154715208,
12,0.324420229,0.326786473,0.316698107,0.3170691,
13,2.020432061,2.075163803,0.136115537,0.104898307,
14,1.623290078,1.646269844,0.151271962,0.143864151,
15,1.631321519,1.650259708,0.265695404,0.26431577,
16,1.968843317,1.985458309,0.151676993,0.160104157,
17,0.885669773,0.902652654,0.166587944,0.163823505,
18,0.484581589,0.490500197,0.139338394,0.140204939,
19,0.615473626,0.630599744,0.142157846,0.137969827,
20,0.974961883,0.986146763,0.134605464,0.135683351,
21,0.885210982,0.892291761,0.151228056,0.149952866,
22,1.444486961,1.453529829,0.624581618,0.628552531,
23,1.126204482,1.143097872,0.144612763,0.135724198,
24,1.455421438,1.475326817,0.161788803,0.165517241,
25,1.548743647,1.567829188,0.576753835,0.576812402,
26,0.734501833,0.743121377,0.457725684,0.464490306,
27,1.033504096,1.052756728,0.234824044,0.233632679,
28,1.55572753,1.588289005,0.22132238,0.215549748,
29,0.770471236,0.777075717,0.053256414,0.053362296,
30,1.201640323,1.215152065,0.309809648,0.310219359,
31,0.926286006,0.950888843,0.156393478,0.163281672,
32,1.774047466,1.792898388,0.360578123,0.362721019,
33,1.278884104,1.298884974,0.511844775,0.506672263,
34,1.66651146,1.688882474,1.151236104,1.1612303,
35,1.303098141,1.316885273,0.116770759,0.115747906,
36,1.724679048,1.736499267,1.401671928,1.399142271,
37,0.583209376,0.595185399,0.063047085,0.065764766,
38,0.847120623,0.855153237,0.476901316,0.476529208,
39,1.445591047,1.465190243,0.209805481,0.215256009,
40,0.844554224,0.851596725,0.174012046,0.17165051,
41,2.574823911,2.595968503,0.738351906,0.740458701,
42,3.167951767,3.176927849,0.245190796,0.25167014,
43,1.077293411,1.091672003,0.333953808,0.339473389,
44,5.237615245,5.249668053,0.950978506,0.957552156,
45,1.260886356,1.286441916,0.082706515,0.082703046,
46,1.552599544,1.56513999,0.261948048,0.265068287,
47,1.039027943,1.042630485,0.016847442,0.016761504,
48,1.290946647,1.308653337,0.361685581,0.357958492,
49,0.590434339,0.60330801,0.088593447,0.090445233,
50,3.587745628,3.624144979,1.622686565,1.63282858,
51,1.641231128,1.657878784,0.176964889,0.175523496,
52,1.455264414,1.476284322,0.303878542,0.302566611,
53,0.62591751,0.639548745,0.089060676,0.089472769,
54,4.318690746,4.346130448,2.42631751,2.4452946,
55,2.656991789,2.679259185,1.377320839,1.385745108,
56,3.111733407,3.147820453,0.480405166,0.491018115,
57,2.20290273,2.230301225,1.231084405,1.236917837,
58,0.549374666,0.558855736,0.057843146,0.056766539,
59,1.718438972,1.731303127,0.368832116,0.368041924,
60,0.792326162,0.800754346,0.048843688,0.0498344,
61,1.39663921,1.428298024,0.136653033,0.127831799,
62,1.112120084,1.121981211,0.492847313,0.491426465,
63,0.95998761,0.970043364,0.175851897,0.177444016,
64,0.83797411,0.846066374,0.116093819,0.114522613,
65,0.96765157,0.985604193,0.061175734,0.068795134,
66,0.985330034,1.001778359,0.094063919,0.092435783,
67,1.075194953,1.092522763,0.214593202,0.213504801,
68,0.95159582,0.964934354,0.15375541,0.153521857,
69,0.961097416,0.969368114,0.29001033,0.294208193,
70,300,300,1000,1000,
71,1.632899878,1.661132174,0.217261612,0.216986018,
72,3.100596123,3.132748758,0.537530121,0.545015767,
73,1.712332095,1.732673268,0.393775544,0.400297678,
74,1.236476232,1.261226805,0.740706835,0.746007725,
75,2.460414113,2.483976811,1.001322509,1.016604797,
76,0.823298518,0.835395104,0.107016428,0.108600717,
77,1.622547118,1.658030009,0.171552218,0.182196822,
78,4.541661051,4.669624979,0.803839458,0.809890482,
79,0.904935368,0.921720296,0.159562967,0.160806107,
80,1.177224964,1.188949818,0.377759123,0.377263986,
81,1.373206208,1.389009676,0.118801912,0.118179663,
82,1.519557569,1.531238783,0.384845065,0.387557944,
83,1.410537601,1.424060895,0.142994908,0.143764918,
84,0.896341725,0.904479138,0.108539531,0.10756063,
85,2.362928454,2.387182583,0.701822379,0.703099764,
86,0.89743333,0.904369444,0.196975209,0.196816783,
87,1.119348404,1.140963759,0.12260163,0.124118091,
88,1.407555161,1.430297519,0.239074948,0.239235432,
89,1.999450825,2.030793457,0.172443219,0.167622137,
90,1.441758486,1.460553074,0.337363861,0.345577784,
91,0.790973294,0.807562067,0.098442686,0.10236178,
92,2.250059572,2.289857876,0.256712306,0.258271364,
93,1.848983886,1.862790563,0.16273181,0.160567965,
94,2.12558832,2.152027234,0.632518029,0.6267427,
95,0.956569936,0.968585022,0.093846826,0.088506476,
96,0.330792991,0.335762732,0.036484075,0.03518349,
97,0.919196832,0.926671719,0.108497076,0.10575306,
98,1.430963358,1.453971882,0.265395532,0.265556756,
99,2.817577578,2.826050114,2.350000426,2.347464336,
100,1.189612807,1.194958479,0.225430455,0.226098646,
101,1.081528963,1.104545348,0.149321457,0.147600123,
102,1.088936559,1.113685683,0.223655726,0.225274633,
103,0.567642601,0.576006713,0.13858565,0.136984263,
104,0.660445702,0.667841926,0.073885518,0.072843156,
105,1.5514159,1.564310712,0.109085419,0.109672234,
106,2.7072061,2.721539954,2.222849156,2.23794445,
107,1.709924656,1.740829121,0.232845468,0.2237944,
108,0.794406799,0.802051498,0.303825681,0.306287706,
109,1.432962083,1.454079394,0.224087327,0.218454238,
110,0.831098174,0.83509547,0.562375487,0.565059642,
111,1.801358453,1.835551829,0.115842583,0.12551504,
112,1.040696278,1.054249443,0.282328454,0.282440164,
113,2.203986001,2.225836562,0.09584881,0.106988192,
114,1.635931417,1.655074267,0.235483124,0.234571083,
115,1.395538408,1.410649742,0.180314819,0.179816942,
116,1.169680599,1.187715437,0.299054181,0.301060511,
117,0.779231111,0.789026143,0.105685984,0.104297292,
118,1.571541168,1.579641603,0.073976993,0.072736926,
119,1.435796095,1.454653037,0.665460669,0.673301913,
120,0.501444102,0.512214047,0.046618208,0.047305499,
121,0.902512332,0.914016718,0.115606885,0.117703399,
122,1.820395399,1.830187897,0.049550537,0.047024551,
123,1.143429949,1.152311687,0.128587157,0.125315065,
124,1.076951211,1.095201963,0.149229866,0.149958094,
125,1.506681954,1.527808051,0.231638115,0.234337637,
126,0.719600879,0.729382239,0.082822342,0.082322344,
127,1.371391263,1.380756952,0.277450797,0.275135222,
128,0.773537133,0.786804627,0.078608573,0.076304625,
129,1.411785264,1.430018145,0.475184663,0.474547148,
130,0.754201595,0.758938951,0.033013486,0.033094152,
131,0.714677233,0.720610425,0.180678739,0.17943203,
132,1.136291317,1.160100218,0.065907711,0.069540656,
133,1.316576904,1.322452746,0.145349203,0.14587204,
134,0.487380521,0.49486021,0.078686545,0.078961577,
135,0.919844011,0.929797982,0.136548989,0.136125462,
136,2.039219499,2.056824334,0.169375146,0.167413421,
137,1.510164153,1.535015719,0.451382787,0.450049467,
138,0.612472395,0.620954988,0.076685712,0.078295508,
139,0.76769049,0.776593907,0.116417946,0.11751538,
140,0.865143718,0.880859411,0.310890652,0.303141853,
141,1.556466406,1.57259348,0.071814309,0.067847119,
142,1.145987452,1.167683275,0.130546594,0.132022402,
143,0.754871016,0.762389163,0.085793062,0.086426062,
144,0.800574197,0.81304593,0.210255596,0.208117256,
145,1.039230873,1.057993549,0.193078623,0.20046043,
146,2.167975992,2.183170199,0.060663839,0.072102586,
147,0.811355673,0.819417236,0.571069737,0.570403102,
148,1.894929184,1.916153084,0.848035608,0.855828606,
149,1.12745578,1.139702886,0.142750243,0.143986194,
150,1.218966067,1.223790546,0.091863206,0.093066883,
151,1.54476815,1.556917513,0.076512917,0.075228254,
152,0.766429865,0.774777153,0.121217917,0.117011599,
153,1.97981046,1.998337155,0.312366797,0.319872981,
154,1.918457016,1.954526984,0.217598795,0.221422509,
155,1.390998118,1.411985084,0.199495685,0.194576347,
156,0.744837677,0.756359627,0.263609819,0.264637376,
157,0.858406516,0.868509488,0.431902339,0.432191252,
158,1.251059316,1.266071576,0.561984152,0.562863325,
159,0.783316159,0.785523907,0.109643866,0.10896985,
160,0.498577464,0.504954141,0.033289072,0.033341292,
161,1.271985852,1.277206193,0.030509072,0.029638644,
162,1.686599169,1.730696797,0.14548411,0.155911404,
163,1.594174597,1.610759011,0.434653247,0.434437174,
164,1.831690819,1.848452694,0.493855869,0.50180064,
165,1.029397882,1.045187001,0.081159401,0.07976395,
166,0.833593012,0.849177586,0.185581404,0.180897774,
167,1.035870055,1.051386209,0.037605597,0.03490361,
168,0.787256709,0.792920357,0.469918938,0.469425607,
169,1.003720762,1.022204405,0.096104314,0.089031404,
170,1.49457601,1.504017258,0.171159701,0.171503551,
171,1.355476942,1.372728831,0.128734754,0.127293089,
172,0.589653435,0.601483274,0.076088929,0.074058003,
173,1.054992391,1.065674628,0.252158937,0.251231661,
174,1.759713726,1.774470184,0.438186251,0.441331789,
175,1.268149502,1.279655797,0.434364673,0.432828168,
176,0.825028,0.839989539,0.155306534,0.157522738,
177,1.733763545,1.74825975,0.075770325,0.073209337,
178,1.045603122,1.05805668,0.233612661,0.234860205,
179,1.029205655,1.037014146,0.082311559,0.081755747,
180,0.990786075,0.999471987,0.043352912,0.041777131,
181,1.892649703,1.911133317,0.291548874,0.295562357,
182,1.006327029,1.018264844,0.244377779,0.246286262,
183,1.067297896,1.081180664,0.15876758,0.159116715,
184,0.784875664,0.796405671,0.145333249,0.149414049,
185,0.807747167,0.821076356,0.070905781,0.073693815,
186,0.489197242,0.493997589,0.241567932,0.241112052,
187,1.706053542,1.729555901,0.200715873,0.207490066,
188,1.286673971,1.298451546,0.126797164,0.127421532,
189,0.512472427,0.520454876,0.211848956,0.215261702,
190,1.944208085,1.95574736,1.324688109,1.324942829,
191,0.891969413,0.900309352,0.123714243,0.122000558,
192,0.57689779,0.582391618,0.245614129,0.246213886,
