,sd_life_dim1,sd_life_dim2,
1,0.104095314,0.015937292,
2,0.037626523,0.023693984,
3,0.047146894,0.008419096,
4,0.071260146,0.014602485,
5,0.078112237,0.036152811,
6,0.034731052,0.007718969,
7,0.068414354,0.010289142,
8,0.085304856,0.037495776,
9,0.068373658,0.021074226,
10,0.042920596,0.019205254,
11,0.094738762,0.021509839,
12,0.058708761,0.001610885,
13,0.169722711,0.059590702,
14,0.068805017,0.02896497,
15,0.100909552,0.02129992,
16,0.101517798,0.026189062,
17,0.048099748,0.020886296,
18,0.042274553,0.005751818,
19,0.033156256,0.010113186,
20,0.068760306,0.013218834,
21,0.054380614,0.00571952,
22,0.145688642,0.008791388,
23,0.07311223,0.02033429,
24,0.079711602,0.025709331,
25,0.091532126,0.02055495,
26,0.053571125,0.010235403,
27,0.068212997,0.020807475,
28,0.133579722,0.033534686,
29,0.041080646,0.005325258,
30,0.150452466,0.012937181,
31,0.094825493,0.034840572,
32,0.078946633,0.01370589,
33,0.24339248,0.025710797,
34,0.169000645,0.027925729,
35,0.074474721,0.013216104,
36,0.247607423,0.016079826,
37,0.201478755,0.011574546,
38,0.108973031,0.006674156,
39,0.088665018,0.023131892,
40,0.054532094,0.006951872,
41,0.529132837,0.032404502,
42,0.240319802,0.017036852,
43,0.056771181,0.023094277,
44,0.812412761,0.009900409,
45,0.085317241,0.029696535,
46,0.162876271,0.012387064,
47,0.072576929,0.003186805,
48,0.088362281,0.01702675,
49,0.024901629,0.012898196,
50,0.501658031,0.05431352,
51,0.12318358,0.01711382,
52,0.077407856,0.031328988,
53,0.029910057,0.01604,
54,0.671557103,0.062739776,
55,0.702141815,0.02449284,
56,0.202849557,0.060741852,
57,0.304894427,0.025957398,
58,0.046457793,0.011420365,
59,0.105072365,0.011914225,
60,0.057894431,0.008927567,
61,0.087213069,0.017925731,
62,0.079434067,0.007272341,
63,0.060581885,0.013762677,
64,0.030063828,0.009076406,
65,0.048394656,0.027158577,
66,0.041443368,0.021431296,
67,0.091762251,0.018727794,
68,0.050578363,0.015126548,
69,0.061891862,0.009333417,
70,0.258241898,0,
71,0.116503177,0.026374257,
72,0.152576586,0.034774598,
73,0.357717237,0.020485438,
74,0.286867195,0.022316351,
75,0.209297082,0.029330364,
76,0.043108977,0.01258757,
77,0.116799628,0.045710725,
78,0.316927379,0.108301869,
79,0.042694954,0.016726202,
80,0.06231003,0.010773035,
81,0.058243009,0.014441261,
82,0.10001003,0.016112554,
83,0.064943996,0.012044367,
84,0.040665249,0.007298492,
85,0.350780873,0.023756995,
86,0.046831901,0.006310208,
87,0.078044827,0.022859544,
88,0.064198809,0.023766254,
89,0.124683555,0.028352833,
90,0.089240211,0.020086197,
91,0.031372445,0.015605975,
92,0.15118972,0.040246257,
93,0.063324442,0.013426978,
94,0.095911258,0.032959075,
95,0.053029007,0.015241436,
96,0.037656958,0.004052019,
97,0.035404428,0.010542079,
98,0.073977351,0.019007648,
99,0.431253115,0.009622027,
100,0.094271526,0.005152657,
101,0.063617882,0.026710706,
102,0.058503401,0.025606947,
103,0.084008013,0.007478315,
104,0.042774197,0.007954988,
105,0.128694506,0.009857394,
106,0.456708285,0.026230332,
107,0.083486725,0.026276815,
108,0.066698074,0.009576731,
109,0.092236249,0.03244126,
110,0.079104842,0.002825557,
111,0.100309285,0.039160513,
112,0.056668156,0.012357431,
113,0.099713566,0.026696563,
114,0.085452904,0.032961226,
115,0.065313917,0.014589347,
116,0.051863308,0.01744186,
117,0.068453492,0.006152613,
118,0.091633674,0.011484118,
119,0.143263527,0.020780193,
120,0.026745349,0.009355048,
121,0.044877638,0.01296897,
122,0.150358305,0.010430426,
123,0.072415649,0.010661069,
124,0.060042402,0.017709453,
125,0.091407402,0.020741308,
126,0.055548701,0.011148926,
127,0.088733184,0.010656139,
128,0.056971512,0.01324993,
129,0.247272433,0.020072572,
130,0.032616054,0.003618177,
131,0.055308945,0.004364521,
132,0.052722114,0.026492192,
133,0.065958766,0.006012561,
134,0.066583756,0.007998686,
135,0.059992338,0.010361548,
136,0.101800689,0.016954644,
137,0.149959022,0.026538904,
138,0.038007519,0.008738105,
139,0.448561351,0.009808925,
140,0.066673374,0.015894471,
141,0.120759271,0.022876904,
142,0.07490715,0.024737904,
143,0.0251339,0.011621658,
144,0.03255935,0.011341571,
145,0.04377946,0.040320149,
146,0.102002074,0.013951863,
147,0.273549535,0.00889926,
148,0.288295668,0.023800891,
149,0.063248073,0.009439282,
150,0.086034654,0.002994639,
151,0.054564993,0.010444284,
152,0.053735634,0.008470902,
153,0.086816526,0.02511172,
154,0.071417404,0.03075545,
155,0.10361853,0.016026041,
156,0.0360866,0.012358148,
157,0.110964375,0.010470611,
158,0.157059184,0.015055801,
159,0.122547224,0.002000647,
160,0.026229057,0.005904455,
161,0.074331219,0.004776103,
162,0.113293898,0.039410674,
163,0.291102778,0.020534048,
164,0.112345713,0.02107058,
165,0.043516131,0.017950004,
166,0.050490805,0.014699678,
167,0.045776767,0.016440066,
168,0.084630398,0.004987755,
169,0.068181319,0.027581121,
170,0.077956258,0.010948569,
171,0.051778376,0.015584346,
172,0.029223796,0.014056186,
173,0.125579107,0.011172044,
174,0.140736192,0.017010238,
175,0.147750268,0.009760959,
176,0.062298509,0.01847366,
177,0.096331366,0.0163901,
178,0.070122665,0.013132424,
179,0.047555065,0.007981322,
180,0.053818158,0.012880912,
181,0.116677465,0.018713162,
182,0.041347296,0.011140387,
183,0.072618729,0.010805732,
184,0.038388206,0.00661301,
185,0.046851582,0.014504518,
186,0.030865812,0.0032001,
187,0.095104952,0.026011233,
188,0.051336072,0.014569476,
189,0.035237878,0.006580563,
190,0.14952152,0.010791921,
191,0.098522343,0.007955251,
192,0.049713749,0.004252823,
193,0.077778018,0.012639942,
194,0.158421179,0.01682403,
195,0.075115108,0.015329482,
196,0.201178278,0.01452226,
197,0.045119436,0.008812421,
198,0.082959554,0.024952806,
199,0.065907557,0.009191668,
200,0.0520415,0.00957646,
201,0.018808426,0.007619341,
202,0.05980829,0.013086716,
203,0.091191991,0.005624725,
204,0.272524721,200,
205,0.023924277,0.011617871,
206,0.074723785,0.001762973,
207,0.261442934,0.013790605,
208,0.067807876,0.017087822,
209,0.081680385,0.015773715,
210,0.048335784,0.006745172,
211,0.257875349,0.010189465,
212,0.034278522,0.009822264,
213,0.150332719,0.033281431,
214,0.045548586,0.012370009,
215,0.088007115,0.026083627,
216,0.058124721,0.025468391,
217,0.156823759,0.018943127,
218,0.108067201,0.015445215,
219,0.136509097,0.014819372,
220,0.075844375,0.012052334,
221,0.054557124,0.015687061,
222,0.059263103,0.021541762,
223,0.277467622,0.011844156,
224,0.041847846,0.007931877,
225,0.047877411,0.024606019,
226,0.07033799,0.025674527,
227,0.070393322,0.016294939,
228,0.02986329,0.008457419,
229,0.059053086,0.015640726,
230,0.670997602,0.008251473,
231,0.043662263,0.018832257,
232,0.213467507,0.009924152,
233,0.055828349,0.00804618,
234,0.054328106,0.01128315,
235,0.364681952,0.017510978,
236,0.053697391,0.007685883,
237,0.070367195,0.016106019,
238,0.11050059,0.014201124,
239,0.108796458,0.020549808,
240,0.046238877,0.01480935,
241,0.048847628,0.020871709,
242,0.074571109,0.017107951,
243,0.15975367,0.013162785,
244,0.069444437,0.021555451,
245,0.247160605,0.006392425,
246,0.05119158,0.009867223,
247,0.023377115,0.005062366,
248,0.491011744,0.020246235,
249,0.076099072,0.019443748,
250,0.062947079,0.008011685,
251,0.067530068,0.017510457,
252,0.149231787,0.031512926,
253,0.050455183,0.012592698,
254,0.040518962,0.010290278,
255,0.031449565,0.010924809,
256,0.098174044,0.025367951,
257,0.125530613,0.028269851,
258,0.060412554,200,
259,0.126108159,0.028554999,
260,0.034552773,0.014935497,
261,0.030297779,0.004734085,
262,0.075373204,0.016949638,
263,0.070094993,0.002855775,
264,0.032125428,0.014373101,
265,0.069484851,0.021473475,
266,0.037842412,0.005117376,
267,0.080480346,0.019030968,
268,0.100313366,0,
269,0.051439469,0.013005715,
