,Lifetime_dim0,Lifetime_dim1,Lifetime_dim2
1,292.398086,21.340995,1.53642178
2,276.175923,7.37422562,0.98381805
3,208.35357,10.7302648,1.86499554
4,233.588492,6.31106071,0.6044147
5,610.762834,34.3269231,5.65595984
6,149.719113,11.4702223,1.06600955
7,146.238465,2.54145241,0.27585089
8,262.995131,12.8747718,1.72953051
9,467.030878,36.9827106,3.64705801
10,216.551616,12.871599,1.62182713
11,281.817035,30.2547696,1.50833243
12,117.454886,1.72161261,0.00946498
13,230.396664,14.0746077,1.696684
14,427.497336,24.505949,4.43509489
15,529.376097,35.7223984,3.920205
16,406.465875,17.6721834,1.77780414
17,257.195885,31.9336917,2.61536378
18,120.758409,7.8371193,0.29593045
19,235.352142,4.64252491,0.37815297
20,274.397131,29.3962146,2.36000973
21,155.955742,2.94988516,0.12037325
22,428.126038,11.1087475,0.26224315
23,374.146132,30.0339016,2.68604904
24,398.85699,23.1522385,3.1251446
25,457.286457,29.8401451,1.39324445
26,155.797605,3.7052262,0.04309772
27,229.382098,18.9025042,1.9252632
28,460.806283,47.7076877,2.96309423
29,158.055815,5.34163079,0.4755227
30,429.243907,18.9220466,1.86462039
31,342.717012,30.0736312,5.63404959
32,621.355768,19.3205788,1.03680074
33,422.518322,23.9849069,1.46006352
34,563.028503,47.3068307,3.17668402
35,369.136188,40.6904885,3.08831763
36,348.141406,13.6851594,0.79195464
37,277.520984,18.3446266,3.23352629
38,244.229348,16.9649871,0.2972067
39,375.682065,31.4544151,2.03831631
40,191.558588,7.8244372,0.34508258
41,913.659214,65.9223249,2.7910862
42,582.046216,54.6468964,1.27460361
43,182.16791,9.7861893,0.20130029
44,274.403107,8.46703601,0.08436966
45,413.031175,48.6787097,6.95111239
46,493.927655,29.9161464,1.98139048
47,122.856318,2.00697391,0.25938308
48,395.942093,29.8935509,1.82378912
49,180.084776,9.66774322,1.64782992
50,1121.89709,50.8970422,1.81996751
51,340.539108,20.6688227,1.38175547
52,342.346162,13.4541433,0.63059723
53,182.832447,13.639915,1.93563533
54,733.504639,27.1130083,0.63111314
55,1478.36806,45.7470796,1.20243943
56,598.167237,22.7056546,1.76826525
57,647.843061,31.2926982,4.10977435
58,198.130458,15.7261394,2.43663514
59,286.905906,19.7199022,0.27014726
60,262.449518,36.4799581,3.81796765
61,436.358089,8.52632767,0.82312918
62,275.934687,4.56595623,0.30569494
63,234.155802,10.4167289,0.37206292
64,214.128356,5.33530039,0.62310436
65,193.445174,4.04420739,0.44881558
66,201.022829,8.7415868,1.25007272
67,291.281245,22.5572027,2.39123785
68,288.724848,20.0233913,2.89446175
69,195.534812,7.55675818,0.20676745
70,186.142375,1.66154987,400
71,255.432086,17.9256182,1.58100855
72,839.345563,40.2576777,6.01254272
73,842.552551,34.5270442,2.11548197
74,369.594509,12.4492405,0.84151947
75,680.487805,62.8463799,3.0160253
76,273.968637,25.5331625,3.99187356
77,340.00609,11.6896828,1.59673011
78,908.737954,64.6682359,6.14226854
79,225.910987,8.17422906,0.5874725
80,240.248533,10.0997681,1.19593507
81,377.476117,16.2056553,3.66640437
82,381.381399,26.9630111,0.53733581
83,281.24742,6.08370322,0.17580283
84,230.190421,8.94194916,1.71699417
85,909.281088,49.7094706,2.91049552
86,149.783602,4.10240731,0.29131681
87,243.60201,11.7149216,1.05915236
88,396.109738,24.2153634,2.70634055
89,509.533998,18.2547796,7.3968612
90,439.66344,35.022738,2.31173432
91,186.466788,5.12513147,0.81284985
92,833.417103,113.203147,16.19791
93,415.06741,13.065183,4.19722962
94,443.250167,23.475213,1.26906788
95,251.771473,22.4923704,3.02780163
96,139.291906,7.65297322,0.05963689
97,226.864244,8.95600247,2.04064423
98,339.746405,17.3454452,2.32386088
99,470.913356,25.0377775,0.27112114
100,323.686912,14.3270922,0.89807296
101,304.300688,22.6784524,3.91278544
102,294.682281,11.5326744,1.68294045
103,216.560399,15.7744829,0.82804701
104,165.54076,9.11203846,0.73962244
105,277.008265,19.411924,0.69631982
106,750.218505,48.3611455,0.17200625
107,523.882562,30.6722679,6.48993778
108,271.708075,20.0656549,0.96323204
109,208.333075,13.4646417,0.61240202
110,203.682494,9.58982293,0.01199189
111,615.845186,40.3297173,10.8051069
112,284.363811,15.6014542,0.32527596
113,430.536593,7.44023502,2.11950445
114,221.753492,12.8309286,0.51685697
115,493.411866,27.0615979,2.23647743
116,269.028011,12.0520156,1.11815995
117,126.435118,2.61143576,0.32323605
118,262.351078,6.75482601,0.42932308
119,293.076186,18.0283253,0.1319986
120,172.807691,10.9982753,0.95852515
121,210.614076,8.94367133,0.34513158
122,259.311107,11.1347749,0.76381481
123,297.826479,21.9473324,0.1154626
124,314.976956,22.667813,2.42734998
125,508.675923,28.8189812,6.92935967
126,215.033656,21.2325867,1.23245144
127,220.933559,12.0319848,0.96466595
128,192.252367,9.0816458,1.04813206
129,430.992421,19.9736255,3.00842524
130,136.962033,3.14860018,0.47847295
131,125.334817,5.05084428,0.29665962
132,306.630982,22.812758,12.4996729
133,289.64418,12.1951571,1.26330596
134,192.239563,16.9747256,1.06959555
135,168.475506,4.75253704,0.35834295
136,567.536525,33.5303898,3.16887045
137,579.472018,55.6330209,5.98922753
138,193.141203,13.1888502,0.89915481
139,508.387961,32.2386276,0.24929565
140,164.997667,3.22580288,0.2200197
141,266.640061,9.87151664,1.48369086
142,298.768032,45.7792139,4.77308112
143,157.543177,6.06082849,0.39846182
144,206.32964,10.7753007,1.27211675
145,251.128723,14.0459554,0.31896549
146,285.209038,9.49253806,0.12155366
147,360.129015,16.6440494,0.94320285
148,423.033861,10.9928456,0.9126277
149,349.307872,26.4901747,1.5308882
150,176.990659,2.86605585,0.02894688
151,336.313165,8.22585377,1.85885245
152,141.775907,2.85408741,0.44240624
153,636.286775,35.9388978,5.07631445
154,444.254827,8.36659741,1.11816901
155,325.694584,21.6906922,1.69994426
156,340.471519,24.2972585,1.88959986
157,286.062646,17.1938221,1.32348937
158,485.052828,43.6274751,4.44362897
159,158.657189,9.03022319,0.03311622
160,165.911622,13.6047534,2.51878753
161,154.070949,8.27107668,0.35498321
162,183.869241,5.74433374,0.92605019
163,549.705608,31.8020974,1.11115575
164,376.299012,10.6715204,0.78780812
165,253.016326,11.6429452,1.37365335
166,212.674221,13.4858972,1.18442762
167,426.017711,19.0976977,3.91007072
168,176.333168,2.69903369,0.02831824
169,325.762382,27.9292595,3.10525191
170,406.714007,24.885685,2.25645822
171,356.997754,15.8295547,1.93221152
172,189.47648,15.92061,1.66800725
173,369.078367,24.7333923,0.70502764
174,524.266328,37.4474458,2.52335441
175,263.93799,12.5575684,0.58682102
176,205.819092,19.4935215,1.91507697
177,474.35438,31.4973103,2.1164459
178,346.446842,18.9490873,2.27900112
179,215.16568,5.54969883,0.42946702
180,227.396747,8.24345362,1.25077134
181,515.888067,20.912045,1.81139421
182,229.072221,9.19723301,1.00277647
183,441.578782,27.146909,2.42948431
184,188.752855,2.708846,0.13836008
185,286.364802,25.5406639,5.19838375
186,148.903976,4.27668738,0.0912066
187,430.533748,31.1609657,4.13641524
188,261.736869,9.11937097,2.19062889
189,107.186716,1.99869603,0.27938572
190,428.037115,25.2827202,0.91160274
191,234.760357,15.5660538,0.54209602
192,136.780973,5.43465389,0.06592594
193,304.109423,12.6599375,1.00924301
194,671.847697,23.843287,0.74306476
195,277.6144,13.0341112,0.58294302
196,385.979285,20.7960097,0.8548159
197,178.732494,8.42033362,0.19823378
198,299.693181,19.3177303,2.17665762
199,243.379873,8.6030574,0.16359866
200,212.452395,7.33560565,1.03586444
201,168.988504,8.45302878,2.33739483
202,328.503155,20.6286766,3.32418144
203,233.196405,7.3382729,0.28298259
204,312.55387,6.23409516,0.0025034
205,194.497556,13.8815604,1.95913684
206,137.664898,2.7411021,0.00716186
207,352.060493,17.5539218,0.63424325
208,278.287979,14.5652444,1.33334148
209,317.909842,22.3936188,3.76193428
210,173.219666,6.9391145,0.39132762
211,518.891741,19.6470062,1.06422991
212,315.84654,16.1946868,3.77433926
213,650.988765,35.8199996,2.1417619
214,396.662015,10.0984253,0.69362068
215,382.959631,48.5889933,4.43968922
216,215.187102,20.3018149,3.04719344
217,473.466704,25.3455545,4.10946065
218,401.474852,33.192514,1.59206897
219,392.005284,12.2062593,0.90899831
220,359.713397,25.4157372,2.26338029
221,316.764056,29.8967295,3.66578251
222,315.841841,30.6872925,3.58384454
223,564.586309,20.1848612,1.01208639
224,145.762549,15.6672629,0.31554037
225,338.694013,30.7970425,8.84944659
226,283.804312,11.1967724,0.89757335
227,279.996228,10.2395913,1.01492631
228,199.204212,10.8021393,0.43453515
229,290.597228,11.429852,0.42682955
230,461.427982,16.8105019,0.23991275
231,224.473885,15.1977987,3.60845363
232,196.104623,3.75265391,0.06700069
233,171.691526,7.71534842,0.87128085
234,229.804738,14.9743037,1.3327387
235,439.862711,22.5164865,0.57876706
236,177.852516,9.60783705,0.76133865
