,num_pts_dim0,num_pts_dim1,num_pts_dim2
1,550,270,122
2,550,227,40
3,550,325,226
4,550,143,35
5,550,438,157
6,550,297,125
7,550,112,19
8,550,174,51
9,550,561,193
10,550,325,91
11,550,403,83
12,550,70,4
13,550,103,31
14,550,385,193
15,550,476,207
16,550,209,107
17,550,558,154
18,550,215,50
19,550,121,25
20,550,395,211
21,550,105,17
22,550,243,29
23,550,420,159
24,550,393,157
25,550,400,73
26,550,122,5
27,550,348,100
28,550,391,91
29,550,198,72
30,550,405,138
31,550,583,229
32,550,309,55
33,550,302,73
34,550,508,142
35,550,500,224
36,550,198,67
37,550,476,270
38,550,206,37
39,550,445,104
40,550,195,49
41,550,419,132
42,550,292,142
43,550,235,14
44,550,31,7
45,550,576,272
46,550,323,158
47,550,97,72
48,550,375,103
49,550,386,128
50,550,234,50
51,550,234,83
52,550,166,30
53,550,442,142
54,550,222,23
55,550,314,54
56,550,309,49
57,550,308,150
58,550,552,257
59,550,199,21
60,550,656,453
61,550,113,26
62,550,133,31
63,550,207,37
64,550,199,77
65,550,101,25
66,550,224,76
67,550,342,138
68,550,351,217
69,550,228,25
70,550,16,0
71,550,187,56
72,550,454,187
73,550,446,104
74,550,189,34
75,550,359,128
76,550,610,330
77,550,166,45
78,550,238,48
79,550,199,35
80,550,231,102
81,550,330,232
82,550,298,46
83,550,144,13
84,550,294,211
85,550,420,120
86,550,168,42
87,550,184,49
88,550,291,119
89,550,243,236
90,550,380,123
91,550,221,49
92,550,620,407
93,550,333,304
94,550,272,48
95,550,392,252
96,550,300,12
97,550,349,273
98,550,259,101
99,550,226,32
100,550,270,168
101,550,337,170
102,550,249,68
103,550,410,99
104,550,346,100
105,550,187,54
106,550,267,12
107,550,337,210
108,550,455,126
109,550,140,29
110,550,152,3
111,550,514,316
112,550,307,24
113,550,145,97
114,550,249,27
115,550,399,148
116,550,266,62
117,550,97,33
118,550,122,53
119,550,160,7
120,550,394,89
121,550,196,30
122,550,100,78
123,550,241,13
124,550,367,133
125,550,554,328
126,550,457,126
127,550,222,103
128,550,208,79
129,550,310,165
130,550,176,101
131,550,201,50
132,550,454,525
133,550,306,215
134,550,475,143
135,550,133,36
136,550,315,180
137,550,524,241
138,550,394,106
139,550,249,28
140,550,100,14
141,550,103,92
142,550,568,220
143,550,246,53
144,550,333,102
145,550,312,17
146,550,141,8
147,550,354,117
148,550,156,43
149,550,445,125
150,550,94,6
151,550,220,153
152,550,96,53
153,550,496,274
154,550,147,31
155,550,222,81
156,550,485,164
157,550,391,131
158,550,572,296
159,550,217,15
160,550,559,395
161,550,189,68
162,550,78,21
163,550,263,67
164,550,284,47
165,550,247,87
166,550,294,76
167,550,425,252
168,550,66,5
169,550,411,168
170,550,376,239
171,550,301,112
172,550,484,141
173,550,358,66
174,550,411,171
175,550,286,51
176,550,452,128
177,550,366,146
178,550,381,183
179,550,194,55
180,550,234,144
181,550,207,98
182,550,235,84
183,550,412,175
184,550,87,12
185,550,591,390
186,550,162,19
187,550,401,176
188,550,245,186
189,550,136,35
190,550,322,79
191,550,397,65
192,550,129,12
193,550,174,91
194,550,282,46
195,550,167,42
196,550,424,59
197,550,240,26
198,550,223,99
199,550,209,12
200,550,250,115
201,550,520,283
202,550,390,283
203,550,155,30
204,550,87,1
205,550,527,197
206,550,96,4
207,550,177,49
208,550,264,90
209,550,380,299
210,550,209,55
211,550,333,101
212,550,551,366
213,550,282,95
214,550,225,49
215,550,482,172
216,550,301,130
217,550,484,263
218,550,422,103
219,550,310,63
220,550,476,203
221,550,559,282
222,550,487,176
223,550,340,76
224,550,279,34
225,550,530,410
226,550,223,61
227,550,166,57
228,550,339,45
229,550,249,30
230,550,186,40
231,550,337,266
232,550,65,5
233,550,199,153
