,0
1,228
2,246.2058824
3,217.3875
4,278.7333333
5,161.1926606
6,309.9259259
7,286.4827586
8,257.1764706
9,187.5777778
10,275.8095238
11,254.0588235
12,267.3870968
13,191.7727273
14,322.2
15,192.7241379
16,214.05
17,120.4722222
18,335.0833333
19,237.3695652
20,224.4594595
21,281.6666667
22,204.025641
23,246.4705882
24,245.2058824
25,295.3928571
26,309.5925926
27,195.1627907
28,281.8870968
29,176.3958333
30,282.147541
31,211.55
32,222.6486486
33,288.1724138
34,255.2424242
35,214.4358974
36,249.7878788
37,194.5842697
38,313.6153846
39,267.3870968
40,254.1818182
41,224.5263158
42,204.7142857
43,353.1219512
44,251.030303
45,293.2758621
46,191.7272727
47,187.6086957
48,270.1290323
49,286.0344828
50,270.7096774
51,302.2857143
52,217.6296296
53,285.1428571
54,231.5277778
55,87.4
56,144.7843137
57,250.5
58,197.9545455
59,295.4915254
60,226.5166667
61,209.4
62,258
63,326.75
64,221.9210526
65,249.1666667
66,256.53125
67,215.8717949
68,226.5194805
69,326.04
70,239.6571429
71,187.8913043
72,252.7878788
73,184.9565217
74,437.8888889
75,174.4693878
76,219.1842105
77,264.21875
78,78.21621622
79,260.875
80,199.6666667
81,248.3857143
82,282.8275862
83,258.8181818
84,232.5
85,228.2162162
86,249.4242424
87,173.64
88,246.0882353
89,209.2439024
90,223.6842105
91,285.4482759
92,189.7777778
93,236.9
94,337.5416667
95,258.8787879
96,286.85
97,204.7380952
98,298.3571429
99,246.8823529
100,198.7906977
101,173.5918367
102,286.3333333
103,191.2197802
104,318.3846154
105,302.4310345
106,242.3684211
107,100.4385965
108,240
109,276.1612903
110,291.7857143
111,184.0851064
112,288.2758621
113,221.8684211
114,288.9310345
115,195.0909091
116,292.1724138
117,257.9375
118,219.8684211
119,294.1071429
120,203.0813953
121,250.4848485
122,249.6176471
123,267.483871
124,303.1851852
125,178.4375
126,328.5416667
127,227.5135135
128,286
129,191
130,266.6774194
131,304.0357143
132,197.3809524
133,230.4722222
134,257.625
135,292.0166667
136,159.7592593
137,169.0784314
138,176.5050505
139,248.3333333
140,267.2258065
141,228.2857143
142,295.9310345
143,355.4583333
144,332.84
145,219.6756757
