,0
1,0.124222258
2,-1.022361811
3,-3.744154634
4,0.458097199
5,1.201348776
6,-1.906247614
7,-0.421214812
8,-1.862568945
9,0.445734659
10,-0.233678776
11,-0.87503883
12,-2.427411968
13,-1.714994666
14,-0.097569692
15,0.082260976
16,-4.423268864
17,-0.331484297
18,-0.67557359
19,-2.696528093
20,-2.853643347
21,-0.195124211
22,2.792330486
23,-2.92749261
24,-2.130190993
25,-0.20985297
26,-0.233592031
27,0.701581035
28,0.098094971
29,0.96899058
30,-0.259487054
31,0.401459786
32,-0.496567239
33,-0.206855133
34,-1.062366149
35,-0.208895248
36,-4.503152077
37,-3.371034862
38,-1.922030427
39,-3.217955341
40,-0.53364354
41,-0.004331495
42,-0.174924339
43,-2.95021702
44,0.294246682
45,0.507336495
46,-1.432527585
47,0.2559512
48,-0.238801685
49,-0.596427733
50,-1.974024595
51,0.122449025
52,-1.041151619
53,-1.145103454
54,-0.144584357
55,0.635898659
56,0.518098811
57,-2.048280846
58,0.571871449
59,-0.185669906
60,-0.432977929
61,-1.32872437
62,0.344659976
63,0.744304931
64,-0.267285218
65,-1.071161256
66,0.00556185
67,0.330082339
68,-1.841041588
69,-2.02255778
70,-2.348476011
71,1.09741579
72,-0.882348262
73,-1.567183408
74,-0.134662074
75,-0.070969757
76,0.94140614
77,0.526014307
78,1.892621145
79,-0.956508146
80,-0.783230208
81,0.661341912
82,-3.052545583
83,-0.274624867
84,-2.510932819
85,-1.581750152
86,-3.877195234
87,0.011909478
88,-2.954515899
89,-1.384795633
90,-0.706688769
91,0.000650468
92,-1.136720827
93,-1.303257676
94,0.274060529
95,-0.33687942
96,-5.538618383
97,-0.092715498
98,0.121922453
99,-2.262655857
100,0.008547145
101,0.072409713
102,0.51883821
103,0.770877029
104,-0.218273742
105,-0.269005961
106,-1.864630964
107,5.206556164
108,-0.904237002
109,-0.067585357
110,-2.042101831
111,-2.086122614
112,0.437556111
113,1.135920293
114,-0.181091442
115,-1.81852223
116,0.389986376
117,-0.539076187
118,-4.232074842
119,-0.818813624
120,-1.248400056
121,-1.877717875
122,0.094705977
123,-0.455116275
124,-1.299114513
125,-0.479057414
126,-1.415643118
127,-0.733966008
128,0.705386517
129,-0.040946161
130,-4.302126071
131,-0.115988452
132,0.319901055
133,3.386972719
134,-2.561561397
