"","V1","V2","V3"
"1",6,3,2
"2",32,1,1
"3",1,1,1
"4",1,1,2
"5",2,1,2
"6",18,1,2
"7",47,1,1
"8",6,1,2
"9",1,3,1
"10",1,1,1
"11",1,1,1
"12",6,1,2
"13",2,2,1
"14",2,1,1
"15",1,1,2
"16",3,11,1
"17",1,1,3
"18",47,1,1
"19",12,1,1
"20",1,1,1
"21",1,2,2
"22",13,23,1
"23",4,1,3
"24",7,1,1
"25",4,1,1
"26",10,1,1
"27",7,1,2
"28",30,1,1
"29",7,1,1
"30",11,1,2
"31",8,1,1
"32",7,1,1
"33",2,1,1
"34",40,1,1
"35",9,1,1
"36",34,1,1
"37",13,1,1
"38",12,1,1
"39",1,1,1
"40",40,1,1
"41",34,2,2
"42",32,1,1
"43",10,1,1
"44",37,1,5
"45",1,1,1
"46",1,13,3
"47",46,1,1
"48",3,1,1
"49",1,1,1
"50",10,1,1
"51",3,1,2
"52",2,1,1
"53",33,2,1
"54",16,1,1
"55",1,1,2
"56",4,1,3
"57",8,1,2
"58",1,1,1
"59",9,1,1
"60",44,1,1
"61",17,1,1
"62",20,1,1
"63",16,1,1
"64",6,1,1
"65",9,1,1
"66",1,1,1
"67",1,1,2
"68",30,1,1
"69",9,1,1
"70",6,1,2
"71",33,1,1
"72",7,1,7
"73",10,1,1
"74",31,1,1
"75",1,1,2
"76",44,1,1
"77",1,1,1
"78",1,2,1
"79",12,1,1
"80",46,1,1
"81",1,1,1
"82",24,1,1
"83",1,1,3
"84",3,1,1
"85",21,1,1
"86",13,1,1
"87",1,1,1
"88",3,1,1
"89",9,1,1
"90",16,1,1
"91",1,1,1
"92",2,1,1
"93",40,1,1
"94",2,1,1
"95",1,1,1
"96",37,1,1
"97",3,1,2
"98",18,1,1
"99",11,2,3
"100",1,1,1
"101",34,1,1
"102",18,1,1
"103",25,1,1
"104",2,1,1
"105",1,1,2
"106",25,1,1
"107",4,1,1
"108",1,1,2
"109",16,1,1
"110",6,1,1
"111",1,1,1
"112",13,1,1
"113",27,2,1
"114",3,1,1
"115",30,1,2
"116",25,1,1
"117",3,1,1
"118",31,1,1
"119",10,1,2
"120",15,1,1
"121",23,2,2
"122",3,2,1
"123",15,1,2
"124",1,1,1
"125",6,1,1
"126",41,1,1
"127",2,1,1
"128",4,1,1
"129",1,1,1
"130",14,1,1
"131",21,1,1
"132",23,1,1
"133",22,1,1
"134",1,1,4
"135",1,1,2
"136",1,1,1
"137",42,1,1
"138",6,1,1
"139",5,1,1
"140",2,1,1
"141",1,1,1
"142",1,1,1
"143",2,1,1
"144",8,1,1
"145",1,1,1
"146",3,1,1
"147",3,1,1
"148",6,1,1
"149",15,1,1
"150",11,1,3
"151",1,1,5
"152",3,1,1
"153",8,1,1
"154",7,1,1
"155",6,1,1
"156",1,1,1
"157",30,1,1
"158",30,1,1
"159",33,1,1
"160",6,1,3
"161",5,1,1
"162",4,1,1
"163",35,1,1
"164",1,1,1
"165",46,1,1
"166",30,1,1
"167",10,1,1
"168",1,1,2
"169",4,8,1
"170",20,1,1
"171",25,1,1
"172",47,1,1
"173",47,1,1
"174",19,1,1
"175",7,1,1
"176",9,1,1
"177",1,1,1
"178",13,1,1
"179",2,1,1
"180",5,1,1
"181",1,1,1
"182",67,1,1
"183",9,1,3
"184",3,4,1
"185",45,1,1
"186",6,1,1
"187",12,1,1
"188",22,1,1
"189",1,1,1
"190",12,1,1
"191",1,1,1
"192",10,1,1
"193",46,1,1
"194",1,1,3
"195",8,10,1
"196",10,1,1
"197",9,1,1
"198",13,1,2
"199",16,1,1
"200",4,1,1
"201",12,1,1
"202",3,1,1
"203",12,1,1
"204",23,1,1
"205",1,1,3
"206",3,2,1
"207",2,1,1
"208",18,1,1
"209",13,1,3
"210",13,2,2
"211",30,1,1
"212",2,1,2
"213",1,1,2
"214",4,1,1
"215",46,1,3
"216",1,1,1
"217",1,1,1
"218",5,1,2
"219",33,1,1
"220",11,1,2
"221",16,1,1
"222",1,1,2
"223",30,1,1
"224",6,1,1
"225",1,2,1
"226",9,1,1
"227",44,1,1
"228",22,2,1
"229",25,1,5
"230",5,1,1
"231",3,1,1
"232",36,1,1
"233",1,1,1
"234",4,2,1
"235",1,1,8
"236",3,1,1
"237",32,1,1
"238",6,1,1
"239",2,2,1
"240",9,1,1
"241",1,1,1
"242",41,6,2
"243",37,1,1
"244",6,1,2
"245",25,1,1
"246",13,1,1
"247",15,1,3
"248",18,1,1
"249",10,1,2
"250",16,6,3
"251",13,1,1
"252",6,1,2
"253",2,1,1
"254",12,1,2
"255",5,1,3
"256",16,1,1
"257",1,1,1
"258",28,1,1
"259",41,1,2
"260",57,1,3
"261",9,1,1
"262",11,1,1
"263",21,1,1
"264",6,1,1
"265",3,1,1
"266",44,1,1
"267",2,1,1
"268",2,2,1
"269",1,1,1
"270",1,1,3
"271",8,1,2
"272",17,1,1
"273",7,1,3
"274",24,1,3
"275",5,1,1
"276",6,1,1
"277",1,1,1
"278",16,2,1
"279",15,1,1
"280",15,1,1
"281",14,1,1
"282",1,1,1
"283",20,1,1
"284",5,1,1
"285",21,1,2
"286",8,1,1
"287",23,1,2
"288",1,1,1
"289",1,1,2
"290",4,1,1
"291",20,1,1
"292",9,1,2
"293",12,1,1
"294",17,1,2
"295",2,3,1
"296",27,1,1
"297",40,1,1
"298",15,1,1
"299",6,1,2
"300",1,1,1
"301",7,1,3
"302",5,5,1
"303",36,1,1
"304",13,2,1
"305",2,2,1
"306",5,1,1
"307",4,2,1
"308",1,1,7
"309",18,1,3
"310",15,8,1
"311",6,1,1
"312",22,1,1
"313",32,1,7
"314",32,1,1
"315",7,1,1
"316",14,1,1
"317",31,1,1
"318",3,1,6
"319",13,1,2
"320",6,1,1
"321",3,3,3
"322",2,2,2
"323",2,1,2
"324",16,1,1
"325",6,3,3
"326",7,1,1
"327",1,1,1
"328",2,1,3
"329",5,4,1
"330",2,1,1
"331",4,1,1
"332",5,1,1
"333",7,1,1
"334",69,1,1
"335",44,1,1
"336",6,1,1
"337",7,1,1
"338",29,1,1
"339",2,2,1
"340",12,2,2
"341",11,1,3
"342",18,1,1
"343",8,1,1
"344",11,1,2
"345",8,1,1
"346",11,1,1
"347",3,1,1
"348",4,1,1
"349",14,1,2
