"","x"
"1",353
"2",348
"3",427
"4",413
"5",167
"6",356
"7",522
"8",99
"9",492
"10",301
"11",290
"12",188
"13",151
"14",567
"15",157
"16",435
"17",687
"18",507
"19",454
"20",667
"21",301
"22",633
"23",540
"24",188
"25",310
"26",40
"27",695
"28",392
"29",404
"30",489
"31",310
"32",394
"33",199
"34",525
"35",549
"36",314
"37",859
"38",207
"39",352
"40",304
"41",502
"42",542
"43",592
"44",833
"45",181
"46",241
"47",394
"48",464
"49",528
"50",252
"51",415
"52",344
"53",379
"54",358
"55",518
"56",444
"57",364
"58",285
"59",352
"60",304
"61",220
"62",641
"63",383
"64",155
"65",388
"66",125
"67",163
"68",88
"69",543
"70",255
"71",435
"72",293
"73",546
"74",242
"75",144
"76",716
"77",353
"78",406
"79",170
"80",436
"81",321
"82",617
"83",230
"84",378
"85",126
"86",573
"87",204
"88",476
"89",788
"90",372
"91",272
"92",386
"93",537
"94",189
"95",544
"96",357
"97",646
"98",477
"99",513
"100",330
"101",473
"102",652
"103",291
"104",206
"105",370
"106",547
"107",128
"108",769
"109",400
"110",395
"111",501
"112",151
"113",241
"114",408
"115",383
"116",241
"117",231
"118",459
"119",144
"120",171
"121",244
"122",334
"123",343
"124",746
"125",586
"126",391
"127",396
"128",310
"129",257
"130",413
"131",251
"132",265
"133",143
"134",298
"135",367
"136",307
"137",351
"138",450
"139",377
"140",560
"141",1008
"142",251
"143",263
"144",448
"145",430
"146",557
"147",378
"148",335
"149",729
"150",510
"151",556
"152",79
"153",143
"154",515
"155",111
"156",590
"157",232
"158",554
"159",228
"160",209
"161",260
"162",232
"163",604
"164",335
"165",468
"166",297
"167",355
"168",292
"169",174
"170",147
"171",222
"172",508
"173",239
"174",231
"175",605
"176",502
"177",174
"178",110
"179",556
"180",200
"181",78
"182",438
"183",370
"184",260
"185",464
"186",252
"187",855
"188",277
"189",388
"190",438
"191",519
"192",397
"193",402
"194",380
"195",242
"196",450
"197",322
"198",643
"199",310
"200",531
"201",207
"202",555
"203",722
"204",622
"205",513
"206",317
"207",372
"208",241
"209",330
"210",439
"211",413
"212",363
"213",377
"214",287
"215",574
"216",592
"217",145
"218",304
"219",723
"220",368
"221",465
"222",622
"223",663
"224",441
"225",408
"226",413
"227",613
"228",467
"229",240
"230",690
"231",691
"232",581
"233",545
"234",464
"235",455
"236",472
"237",268
"238",413
"239",315
"240",417
"241",216
"242",636
"243",625
"244",296
"245",469
"246",603
"247",218
"248",815
"249",854
"250",236
"251",229
"252",351
"253",531
"254",503
"255",469
"256",768
"257",538
"258",472
"259",216
"260",103
"261",406
"262",977
"263",610
"264",843
"265",635
"266",100
"267",154
"268",294
"269",304
"270",320
"271",589
"272",885
"273",785
"274",495
"275",340
"276",518
"277",573
"278",795
"279",696
"280",889
"281",829
"282",208
"283",361
"284",411
"285",939
"286",511
"287",375
"288",435
"289",623
"290",312
"291",405
"292",310
"293",923
"294",490
"295",169
"296",477
"297",355
"298",295
"299",443
"300",659
"301",570
"302",225
"303",545
"304",406
"305",549
"306",301
"307",808
"308",321
"309",595
"310",739
"311",547
"312",319
"313",636
"314",446
"315",414
"316",674
"317",971
"318",716
"319",601
"320",683
"321",461
"322",155
"323",700
"324",616
"325",548
"326",264
"327",724
"328",834
"329",472
"330",236
"331",386
"332",584
"333",325
"334",164
"335",290
"336",646
"337",255
"338",535
"339",1145
"340",435
"341",501
"342",460
"343",649
"344",719
"345",569
"346",689
"347",389
"348",660
"349",252
"350",659
"351",342
"352",623
"353",291
"354",683
"355",409
"356",252
"357",508
"358",510
"359",369
"360",567
"361",563
"362",394
"363",571
"364",439
"365",534
"366",526
"367",469
"368",451
"369",655
"370",1092
"371",207
"372",447
"373",673
"374",532
"375",555
"376",279
"377",623
"378",369
"379",439
"380",393
"381",586
"382",360
"383",230
"384",446
"385",528
"386",1022
"387",252
"388",640
"389",920
"390",291
"391",450
"392",557
"393",489
"394",569
"395",243
"396",750
"397",331
"398",393
"399",777
"400",526
"401",309
"402",605
"403",369
"404",383
"405",691
"406",411
"407",316
"408",516
"409",698
"410",688
"411",309
"412",461
"413",613
"414",335
"415",334
"416",666
"417",906
"418",642
"419",401
"420",317
"421",736
"422",627
"423",421
"424",260
"425",460
"426",625
"427",920
"428",196
"429",633
"430",833
"431",538
"432",468
"433",471
"434",1348
"435",262
"436",520
"437",550
"438",376
"439",411
"440",284
"441",499
"442",279
"443",436
"444",829
"445",562
"446",183
"447",1305
"448",628
"449",288
"450",240
"451",523
"452",1158
"453",944
"454",292
"455",362
"456",346
"457",800
"458",649
"459",681
"460",602
"461",387
"462",646
"463",468
"464",639
"465",510
"466",537
"467",417
"468",712
"469",371
"470",376
"471",740
"472",1061
"473",438
"474",451
"475",594
"476",698
"477",455
"478",450
"479",414
"480",934
"481",433
"482",726
"483",606
"484",455
"485",250
"486",927
"487",182
"488",336
"489",397
"490",289
"491",738
"492",287
"493",439
"494",794
"495",446
"496",1542
"497",168
"498",243
"499",572
"500",323
"501",396
"502",930
"503",364
"504",311
"505",448
"506",373
"507",709
"508",353
"509",383
"510",398
"511",478
"512",503
"513",447
"514",534
"515",396
"516",366
"517",512
"518",419
"519",621
"520",477
"521",702
"522",519
"523",494
"524",546
"525",249
"526",412
"527",813
"528",524
"529",329
"530",470
"531",666
"532",529
"533",308
"534",478
"535",458
"536",639
"537",712
"538",521
"539",196
"540",1045
"541",573
"542",356
"543",696
"544",524
"545",382
"546",555
"547",705
"548",708
"549",328
"550",510
"551",1380
"552",467
"553",516
"554",559
"555",482
"556",377
"557",354
"558",279
"559",393
"560",311
"561",191
"562",654
"563",301
"564",457
"565",437
"566",482
"567",464
"568",466
"569",462
"570",409
"571",436
"572",489
"573",650
"574",326
"575",290
"576",497
"577",616
"578",194
"579",496
"580",767
"581",479
"582",826
"583",419
"584",373
"585",474
"586",436
"587",436
"588",254
"589",245
"590",466
"591",638
"592",403
"593",1412
"594",478
"595",200
"596",519
"597",548
"598",380
"599",956
"600",269
